dataset,metric,lambda,local_lambda,tuning,model,error_rate,global,local,count
communities,demographic_parity,0.5,0,False,Reweighing,18.0635,25.0803,7.7868,5
communities,demographic_parity,0.5,0,False,LFR,39.0985,0.2482,0.3672,5
communities,demographic_parity,0.5,0,False,DisparateImpactRemover,20.3672,19.0013,7.622,5
communities,demographic_parity,0.5,0,False,Fair-SMOTE,18.7646,27.3234,7.7981,5
communities,demographic_parity,0.5,0,False,LTDD,22.237,8.2711,13.0423,5
communities,demographic_parity,0.5,0,False,PrejudiceRemover,14.7914,48.4701,30.0246,5
communities,demographic_parity,0.5,0,False,FairnessConstraintModel,26.0767,8.8495,10.3935,5
communities,demographic_parity,0.5,0,False,DisparateMistreatmentModel,17.3622,34.5306,16.2561,5
communities,demographic_parity,0.5,0,False,GerryFairClassifier,46.2437,10.3788,6.4987,5
communities,demographic_parity,0.5,0,False,AdversarialDebiasing,23.7062,44.1589,31.0885,5
communities,demographic_parity,0.5,0,False,ExponentiatedGradientReduction,27.1452,4.3024,11.7786,5
communities,demographic_parity,0.5,0,False,GridSearchReduction,22.237,14.341,4.9092,5
communities,demographic_parity,0.5,0,False,MetaFairClassifier,47.0117,23.6218,17.896,5
communities,demographic_parity,0.5,0,False,FAGTB,20.4007,27.8942,12.4258,5
communities,demographic_parity,0.5,0,False,FairGeneralizedLinearModel,15.8932,42.4349,22.2117,5
communities,demographic_parity,0.5,0,False,GradualCompatibility,15.2588,43.2818,23.2322,5
communities,demographic_parity,0.5,0,False,RejectOptionClassification,53.0884,7.3311,5.5049,5
communities,demographic_parity,0.5,0,False,EqOddsPostprocessing,27.546,16.1616,13.5308,5
communities,demographic_parity,0.5,0,False,CalibratedEqOddsPostprocessing,18.0635,61.613,46.9597,5
communities,demographic_parity,0.5,0,False,JiangNachum,30.384,1.3856,8.5602,5
communities,demographic_parity,0.5,0,False,FaX,16.1937,37.7318,17.0429,5
compas,demographic_parity,0.5,0,False,Reweighing,32.4515,9.4841,4.4688,5
compas,demographic_parity,0.5,0,False,LFR,51.0044,2.6625,3.5042,5
compas,demographic_parity,0.5,0,False,DisparateImpactRemover,32.6135,21.9571,11.5842,5
compas,demographic_parity,0.5,0,False,Fair-SMOTE,33.4558,8.2183,5.2556,5
compas,demographic_parity,0.5,0,False,LTDD,32.8079,5.5593,5.0423,5
compas,demographic_parity,0.5,0,False,PrejudiceRemover,32.0411,24.0835,13.0821,5
compas,demographic_parity,0.5,0,False,FairnessConstraintModel,50.8748,7.9045,11.9187,5
compas,demographic_parity,0.5,0,False,DisparateMistreatmentModel,36.35,16.9211,6.2808,5
compas,demographic_parity,0.5,0,False,GerryFairClassifier,54.2223,0.0,0.0,5
compas,demographic_parity,0.5,0,False,AdversarialDebiasing,31.6199,23.8927,12.704,5
compas,demographic_parity,0.5,0,False,ExponentiatedGradientReduction,43.9633,3.3049,5.5753,5
compas,demographic_parity,0.5,0,False,GridSearchReduction,33.013,21.2683,9.7657,5
compas,demographic_parity,0.5,0,False,MetaFairClassifier,34.8595,20.7543,13.2727,5
compas,demographic_parity,0.5,0,False,FAGTB,33.283,16.4409,10.0371,5
compas,demographic_parity,0.5,0,False,FairGeneralizedLinearModel,32.4515,24.8122,13.8945,5
compas,demographic_parity,0.5,0,False,GradualCompatibility,34.9567,23.0289,14.2877,5
compas,demographic_parity,0.5,0,False,RejectOptionClassification,44.6004,5.2298,2.2256,5
compas,demographic_parity,0.5,0,False,EqOddsPostprocessing,36.1446,4.0743,7.368,5
compas,demographic_parity,0.5,0,False,CalibratedEqOddsPostprocessing,33.0886,29.1402,19.1964,5
compas,demographic_parity,0.5,0,False,JiangNachum,34.7947,2.3255,9.0111,5
compas,demographic_parity,0.5,0,False,FaX,32.4083,24.8379,13.8971,5
german,demographic_parity,0.5,0,False,Reweighing,22.1333,5.9057,6.8804,5
german,demographic_parity,0.5,0,False,LFR,22.1333,0.0,0.0,5
german,demographic_parity,0.5,0,False,DisparateImpactRemover,22.0666,5.719,6.9423,5
german,demographic_parity,0.5,0,False,Fair-SMOTE,29.4667,9.4666,8.6655,5
german,demographic_parity,0.5,0,False,LTDD,22.4,7.0384,7.683,5
german,demographic_parity,0.5,0,False,PrejudiceRemover,21.5334,4.7406,5.9294,5
german,demographic_parity,0.5,0,False,FairnessConstraintModel,22.2,7.1931,7.6781,5
german,demographic_parity,0.5,0,False,DisparateMistreatmentModel,22.1333,1.812,4.6359,5
german,demographic_parity,0.5,0,False,GerryFairClassifier,22.1333,3.1096,4.4456,5
german,demographic_parity,0.5,0,False,AdversarialDebiasing,21.9333,6.15,8.7221,5
german,demographic_parity,0.5,0,False,ExponentiatedGradientReduction,21.8,2.6264,4.9908,5
german,demographic_parity,0.5,0,False,GridSearchReduction,21.9334,3.357,5.2686,5
german,demographic_parity,0.5,0,False,MetaFairClassifier,22.4666,3.08,5.7502,5
german,demographic_parity,0.5,0,False,FAGTB,24.2668,3.56,8.4592,5
german,demographic_parity,0.5,0,False,FairGeneralizedLinearModel,22.0,3.5954,5.2447,5
german,demographic_parity,0.5,0,False,GradualCompatibility,22.0667,3.5001,5.2159,5
german,demographic_parity,0.5,0,False,RejectOptionClassification,34.4,8.7817,13.3987,5
german,demographic_parity,0.5,0,False,EqOddsPostprocessing,33.0666,1.689,5.3044,5
german,demographic_parity,0.5,0,False,CalibratedEqOddsPostprocessing,21.6,5.768,7.5138,5
german,demographic_parity,0.5,0,False,JiangNachum,21.8666,2.3141,5.1006,5
german,demographic_parity,0.5,0,False,FaX,22.2001,5.6115,6.6096,5
credit_card_clients,demographic_parity,0.5,0,False,Reweighing,19.1088,0.6134,1.4358,5
credit_card_clients,demographic_parity,0.5,0,False,LFR,22.1422,0.0,0.0,5
credit_card_clients,demographic_parity,0.5,0,False,DisparateImpactRemover,19.1955,1.6676,1.5619,5
credit_card_clients,demographic_parity,0.5,0,False,Fair-SMOTE,22.0733,5.7009,8.5098,5
credit_card_clients,demographic_parity,0.5,0,False,LTDD,19.1178,0.5145,1.5922,5
credit_card_clients,demographic_parity,0.5,0,False,PrejudiceRemover,19.109,2.3316,2.0887,5
credit_card_clients,demographic_parity,0.5,0,False,FairnessConstraintModel,19.9178,0.6022,1.5682,5
credit_card_clients,demographic_parity,0.5,0,False,GerryFairClassifier,20.2622,1.7601,1.0598,5
credit_card_clients,demographic_parity,0.5,0,False,AdversarialDebiasing,18.4512,0.6812,3.205,5
credit_card_clients,demographic_parity,0.5,0,False,ExponentiatedGradientReduction,19.1356,1.4875,1.1891,5
credit_card_clients,demographic_parity,0.5,0,False,GridSearchReduction,19.3622,1.0839,1.2552,5
credit_card_clients,demographic_parity,0.5,0,False,MetaFairClassifier,53.6423,23.894,22.7912,5
credit_card_clients,demographic_parity,0.5,0,False,FAGTB,18.54,1.3157,2.2864,5
credit_card_clients,demographic_parity,0.5,0,False,FairGeneralizedLinearModel,19.1178,1.4398,1.1031,5
credit_card_clients,demographic_parity,0.5,0,False,GradualCompatibility,39.9422,5.1069,3.7517,5
credit_card_clients,demographic_parity,0.5,0,False,RejectOptionClassification,20.8067,4.2505,2.9299,5
credit_card_clients,demographic_parity,0.5,0,False,EqOddsPostprocessing,19.7868,0.8322,2.019,5
